#indelrate	time_hb	sd_t_hb	time_heur	sd_t_heur	time_syn	sd_t_syn	sc_hb	sd_sc_hb	sc_heur	sd_sc_heur	sc_syn	sd_sc_syn	sc2_hb	sd_sc2_hb	sc2_heur	sd_sc2_heur	sc2_syn	sd_sc2_syn
0	0.96726	0.000336536	0.02292	3.93893e-05	0.02989	0.000252621	6516.94	14.7684	6516.94	14.7684	5315.09	35.0495	10000	0	10000	0	326.37	31.2764
0.0005	0.96803	0.000593475	0.03658	0.009502	0.02983	0.000245795	5491.69	195.938	5296.33	318.553	3981.95	321.043	1063.98	76.3066	1063.96	76.3046	269.57	24.9308
0.001	0.96675	0.000752823	0.08046	0.0209206	0.02962	0.000256936	4147.32	317.053	3455.6	449.196	2035.42	563.543	452.37	37.9586	452.34	37.9497	171	17.6941
0.0015	0.96614	0.000824379	0.08247	0.0205423	0.02982	0.00027057	3364.16	294.885	2949.3	365.745	128.03	702.065	328.59	27.6827	328.9	27.6749	165.86	20.5275
0.002	0.9675	0.000883462	0.15853	0.0318057	0.03008	0.000290482	2738.34	321.992	2168.72	429.235	157.92	540.871	254.84	25.7117	254.85	25.7087	125.31	12.1549
0.0025	0.96453	0.000982417	0.08241	0.01917	0.02976	0.000237461	1827.96	341.645	1175.14	444.813	-1050.07	588.863	214.97	19.4386	214.95	19.437	125.77	11.9617
0.003	0.96382	0.000898189	0.17751	0.0321813	0.03015	0.000277571	1091.38	346.211	19.6	488.805	-2879.78	704.57	170.87	19.3268	170.66	19.3339	120.94	13.6757
0.0035	0.96274	0.000902143	0.22503	0.036381	0.02972	0.000283941	752.18	325.953	-223.47	430.208	-3402.87	738.368	176.49	15.0839	176.44	15.085	122.29	11.581
0.004	0.96069	0.00118498	0.24004	0.0369702	0.02988	0.000253572	-1096.48	332.052	-2178.19	427.958	-5527.45	661.449	145.8	11.7772	145.84	11.7764	90.27	9.01037
0.0045	0.96109	0.000892742	0.19879	0.033158	0.02977	0.000267746	-1145.54	340.959	-2554.52	438.491	-5247.42	634.386	122.14	13.566	122.11	13.57	83.11	9.03988
0.005	0.95452	0.00151434	0.28386	0.0375998	0.03079	0.000348241	-2652.46	375.855	-4374.34	513.712	-8185.39	743.269	134.08	13.6112	134.09	13.6107	88.89	9.81307
0.0055	0.95584	0.00139969	0.19198	0.0300607	0.02979	0.00031696	-2708.58	364.842	-4897.09	561.635	-7636.38	713.305	101.51	8.76485	98.76	8.462	72.94	7.90703
0.006	0.9565	0.00124174	0.24351	0.0346459	0.03021	0.000300604	-3207.44	350.54	-5306.03	595.936	-9324.52	777.268	89.76	8.34574	89.75	8.34311	64.67	6.82158
0.0065	0.95688	0.00116361	0.24131	0.0347863	0.02967	0.00027963	-3513.58	334.577	-5679.15	538.94	-8140.97	647.394	87.42	7.86514	87.47	7.86618	59.68	5.7039
0.007	0.95579	0.00137064	0.27077	0.0364606	0.02988	0.000356266	-4562.38	363.068	-6192.86	514.828	-11766.3	787.212	70.94	7.35488	70.92	7.3559	50.43	5.13481
0.0075	0.95478	0.00145495	0.31882	0.0372898	0.02976	0.000271591	-5195.47	337.503	-7168.3	521.042	-12339.1	752.607	79.29	7.2334	78.76	7.23932	55.44	5.14998
0.008	0.95093	0.00139126	0.31775	0.0382508	0.02972	0.000290968	-6412.57	329.915	-8826.95	522.318	-13903.6	719.915	82.09	7.3495	82.13	7.33228	61.82	5.98522
0.0085	0.95188	0.00142001	0.38804	0.0404869	0.02931	0.000291529	-5909.56	318.992	-7834.55	466.208	-13397.3	744.715	66.38	6.72555	66.33	6.72957	51.09	5.1213
0.009	0.95307	0.0012674	0.35457	0.039958	0.03044	0.000350849	-6266.17	341.973	-9372.18	543.564	-13738.9	771.111	62.39	5.70982	62.31	5.71392	57.69	5.77516
0.0095	0.94989	0.00148575	0.36108	0.0393771	0.02967	0.000287116	-7063.24	292.023	-9814.81	481.227	-15265.1	725.252	64.24	5.46525	65	5.59121	50.68	5.10112
