#indelrate	time_hb	sd_t_hb	time_heur	sd_t_heur	time_syn	sd_t_syn	sc_hb	sd_sc_hb	sc_heur	sd_sc_heur	sc_syn	sd_sc_syn	sc2_hb	sd_sc2_hb	sc2_heur	sd_sc2_heur	sc2_syn	sd_sc2_syn
0	0.96786	0.000337555	0.0228	4.49467e-05	0.1114	8.40875e-05	10000	0	10000	0	10000	0	10000	0	10000	0	10000	0
0.0005	0.9673	0.000642674	0.02442	0.000433725	0.04286	0.000447895	8998.49	156.044	8826.7	200.419	8958.03	165.359	1064.52	100.618	1064.43	100.627	1061.84	100.199
0.001	0.96347	0.00145716	0.05894	0.0141343	0.03487	0.000395851	7446.1	341.658	7074.57	439.553	7042.56	418.309	546.85	49.2773	546.89	49.2755	547.07	49.2809
0.0015	0.96304	0.00108133	0.05248	0.0133855	0.0316	0.000318773	7087.35	261.768	6655.38	329.26	6497.64	376.871	383.34	35.0329	383.44	35.0405	383.88	35.0525
0.002	0.95847	0.00150732	0.10244	0.0227519	0.03003	0.000309922	5624.46	298.566	5369.42	332.459	4966.25	395.634	287.97	23.6545	287.98	23.6574	287.88	23.702
0.0025	0.95757	0.00144943	0.17005	0.0322797	0.02916	0.000276603	4467.51	374.342	4089.92	429.358	3690.3	511.331	232.61	22.0957	232.26	22.0972	233.02	22.122
0.003	0.95503	0.00165709	0.1392	0.0288492	0.02831	0.000332026	3883.66	407.676	2657.21	544.678	2237.79	659.656	180.63	18.4548	177.7	18.5259	178.81	18.4214
0.0035	0.9517	0.00184591	0.1411	0.0277381	0.02804	0.000328117	3081.1	404.294	2205.84	494.345	1290.16	695.14	146.21	12.8881	146.21	12.8868	144.44	12.9776
0.004	0.9475	0.00191266	0.18552	0.0318792	0.02725	0.000282977	1393.47	436.841	324.41	543.79	-796.96	653.83	117.67	11.1994	117.7	11.2012	116.54	11.2695
0.0045	0.9495	0.00199152	0.18485	0.0323216	0.02735	0.000355725	1549.01	440.528	399.53	571.202	-1101.91	757.885	119.33	10.7868	119.29	10.7855	118.75	10.8224
0.005	0.94949	0.00166827	0.1888	0.0323029	0.02697	0.000305986	1094.69	378.862	-475.01	599.429	-2093.9	723.999	127.43	10.6211	127.4	10.6205	124.82	10.7234
0.0055	0.94143	0.00198032	0.20437	0.0314102	0.02731	0.000334149	-811.28	386.631	-2673.73	549.077	-4590.38	700.148	98.72	9.12649	98.75	9.12808	96.94	9.1658
0.006	0.94316	0.00177159	0.25478	0.0361291	0.02658	0.000245846	-871.34	422.601	-2623.52	640.528	-4301.33	744.706	85.47	7.43142	85.31	7.42741	84.74	7.49031
0.0065	0.94044	0.00221721	0.34581	0.0399698	0.02681	0.000276594	-1666.27	395.005	-2949.84	505.92	-5419.86	743.59	84.6	6.91878	84.55	6.92096	83.41	6.87171
0.007	0.94136	0.00208383	0.29383	0.0374322	0.02696	0.000322528	-1614.96	402.481	-4119.32	621.71	-6026.1	773.441	84.03	7.73579	84.01	7.73508	84.09	7.76582
0.0075	0.93933	0.00201394	0.24152	0.0329384	0.02676	0.000303887	-2623.57	374.014	-4911.66	537.833	-6927.36	757.693	62.9	6.06196	62.84	6.05971	62.87	6.12017
0.008	0.93417	0.00240727	0.36123	0.0400336	0.02661	0.000287762	-3797.44	386.559	-5508.36	486.978	-9129.42	823.427	75.92	6.7354	75.89	6.7321	75.98	6.76991
0.0085	0.93228	0.00236682	0.33979	0.0374542	0.02728	0.000314652	-3608.07	389.481	-6548.5	658.846	-8584.17	748.717	60.43	5.7123	60.37	5.70355	60.42	5.69336
0.009	0.93324	0.00218771	0.28724	0.0346326	0.02649	0.000293531	-4507.31	371.822	-6964.93	583.549	-10381.8	770.851	67.09	5.54074	66.45	5.5258	66.03	5.61069
0.0095	0.93123	0.00226309	0.31106	0.0352191	0.02677	0.000347532	-5029.04	347.563	-7561.74	511.343	-11997	798.76	67.97	6.40506	67.98	6.40536	68.25	6.44497
