#mutrate	time_hb	sd_t_hb	time_heur	sd_t_heur	time_syn	sd_t_syn	sc_hb	sd_sc_hb	sc_heur	sd_sc_heur	sc_syn	sd_sc_syn	sc2_hb	sd_sc2_hb	sc2_heur	sd_sc2_heur	sc2_syn	sd_sc2_syn
0	0.96441	0.00466229	0.36077	0.0394645	0.02733	0.000452837	-6009.72	319.383	-9099.83	541.91	-12975.5	749.407	5135.92	185.388	4919.09	185.237	5312.26	178.298
0.02	0.96144	0.00141159	0.32103	0.036581	0.02762	0.000268095	-5951.84	345.195	-8540.6	519.269	-13614.9	776.731	5489.2	188.715	5347.68	185.735	5266.85	190.109
0.04	0.96619	0.00121719	0.32439	0.0376405	0.02851	0.000316066	-6669.71	309.512	-9105.38	494.518	-14398.6	747.418	5429.69	181.257	5345.23	181.47	5179.89	185.773
0.06	0.97056	0.00148238	0.3439	0.0372786	0.02913	0.000303733	-7507.84	299.244	-10752.2	565.775	-16955.2	784.747	5214.23	200.872	5142.31	185.251	4669.7	197.625
0.08	0.97083	0.00103123	0.40054	0.0396333	0.02996	0.000243261	-8005.35	279.628	-10714.6	501.659	-16526.7	609.88	5258.69	185.713	5080.34	195.029	4759.94	160.566
0.1	0.9708	0.00105189	0.36939	0.0384851	0.02992	0.000284864	-8856.18	223.629	-11710.9	466.68	-20248.3	580.697	4877.84	164.657	4883.17	163.996	3908.39	141.504
0.12	0.97409	0.000640249	0.39043	0.0406761	0.0302	0.000264766	-8889.68	239.97	-12114.8	474.723	-20423.3	572.204	5202.32	191.069	4957.3	166.21	3799.76	137.806
0.14	0.97451	0.000814204	0.36832	0.0394017	0.0302	0.00033665	-9514.77	216.186	-12686.5	486.291	-22716.7	531.655	4957.5	191.924	4812.76	185.848	3175.51	125.265
0.16	0.97259	0.00105324	0.42089	0.0397941	0.03002	0.000306489	-10734.1	193.112	-13970.2	463.241	-25255.9	402.288	4192.35	192.597	4217.33	176.498	2395.08	97.3161
0.18	0.97902	0.00164753	0.45006	0.0404058	0.02911	0.000361505	-10675.1	176.014	-14394.7	542.138	-26498.3	397.44	4561.18	190.165	4275.96	186.722	2038.97	89.5848
0.2	0.97722	0.000707618	0.40147	0.0381454	0.02895	0.000335862	-10946.6	176.691	-15378.2	532.349	-27609.6	377.971	4531.68	196.745	4103.2	185.355	1670.25	73.5625
0.22	0.97659	0.000748479	0.41416	0.0387094	0.02776	0.000265574	-11402.9	145.424	-15127.8	497.969	-29415.2	310.596	4350.87	188.377	4015.5	177.358	1224.66	60.2483
0.24	0.98148	0.00251418	0.4316	0.0388047	0.02756	0.000325148	-11705	147.065	-15215.8	467.977	-30371.9	280.095	3981.45	199.792	3659.51	190.701	930.92	48.954
0.26	0.97797	0.000818283	0.46484	0.0397296	0.02732	0.000236507	-11875.1	121.672	-16307	562.131	-30717.2	204.744	4173.69	167.223	3721.44	166.175	736.5	36.669
0.28	0.98018	0.00179682	0.54179	0.0389127	0.02618	0.000269448	-12446.1	108.489	-16107.2	518.379	-32192.3	194.652	3456.29	170.393	3265.74	167.261	467.34	26.3988
0.3	0.98036	0.000640473	0.53132	0.0394562	0.02614	0.000267053	-12685.1	99.6555	-16476.7	461.755	-32547.2	186.604	3457.37	163.778	2947.16	148.896	356.82	20.5362
