#mutrate	time_hb	sd_t_hb	time_heur	sd_t_heur	time_syn	sd_t_syn	sc_hb	sd_sc_hb	sc_heur	sd_sc_heur	sc_syn	sd_sc_syn	sc2_hb	sd_sc2_hb	sc2_heur	sd_sc2_heur	sc2_syn	sd_sc2_syn
0	0.9762	0.000523778	0.02281	0.000116076	0.10991	0.000156409	10000	0	10000	0	10000	0	10000	0	10000	0	10000	0
0.02	0.9768	0.000558135	0.02268	4.89898e-05	0.02805	0.000259905	8604.27	9.64314	8604.27	9.64314	8475.48	12.5796	10000	0	10000	0	9980.21	1.30099
0.04	0.98155	0.00159129	0.02299	0.000143896	0.02933	0.000277454	7202.24	13.1037	7202.24	13.1037	6482.9	26.3674	10000	0	10000	0	9849.85	5.03277
0.06	0.99189	0.00285328	0.02339	0.000226031	0.0308	0.000367355	5820.93	16.7863	5820.93	16.7863	3965.76	45.4027	10000	0	10000	0	9542.52	9.99503
0.08	0.99563	0.0030737	0.02344	0.000233688	0.0319	0.00035887	4395.25	20.4738	4395.24	20.4749	805.17	64.9466	9999.93	0.07	10000	0	9009.15	16.358
0.1	0.99949	0.00316149	0.02374	0.000255295	0.03265	0.0003909	2990.24	20.579	2990.24	20.579	-2888.02	80.3871	9999.66	0.171282	9999.66	0.171282	8225.41	22.7626
0.12	0.99873	0.00330689	0.02398	0.000521261	0.03285	0.000345644	1598.16	22.2725	1595.92	22.2374	-7169.7	99.61	9998.63	0.404434	9998.39	0.650857	7149.23	28.9295
0.14	0.98037	0.00132235	0.02364	0.000474293	0.03228	0.000268584	213.38	24.0334	139.48	75.4244	-11633.9	125.694	9995.12	1.06953	9976.12	18.699	5944.64	34.9282
0.16	0.978	0.000695585	0.02506	0.000653479	0.03263	0.000273642	-1179.74	26.2028	-1197.13	31.2425	-16303.8	164.911	9992.55	0.988967	9987.67	5.32892	4597.49	43.8481
0.18	0.9838	0.00205387	0.0368	0.00953413	0.03142	0.000253533	-2575.27	24.9191	-2617.1	31.8265	-20697.6	214.892	9974.99	2.32959	9962.16	6.71032	3313.8	51.5527
0.2	1.00186	0.00277278	0.08204	0.0216048	0.03143	0.0003131	-3962.66	24.8343	-4618.28	186.833	-25267.2	249.807	9951.4	3.13279	9746.77	60.3807	2039.98	51.001
0.22	1.01621	0.00260417	0.1973	0.0343107	0.0294	0.000326289	-5396.64	26.975	-6947.25	338.679	-28951.3	263.358	9886.04	6.23274	9312.82	127.21	1131.39	43.6336
0.24	1.02138	0.000526812	0.20319	0.033915	0.02802	0.000296777	-6742.05	28.6055	-8892.74	399.942	-31318.1	237.725	9790.39	8.45379	9006.96	137.054	571.18	31.1317
0.26	1.02792	0.000529089	0.31922	0.0383962	0.02692	0.000292561	-8054.41	31.5029	-10694.2	401.558	-32474.8	189.11	9588.15	12.0071	8484.66	156.55	331	19.7318
0.28	0.97873	0.000367315	0.42514	0.0390209	0.02461	0.000271879	-9341.17	29.6049	-12829	514.523	-33454.1	201.817	9280.09	18.7015	7596.68	235.184	152.77	13.9922
0.3	1.01454	0.00768608	0.51789	0.0391038	0.02527	0.000344907	-10588.5	30.8069	-14563.7	547.404	-33603.7	160.558	8756.78	24.6497	6644.64	257.509	85.33	7.70506
