#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3036.32	96.3069	-2471.41	5000	0	5000	-1871.1	65.2254	-1486.81	5000	0	5000	0	0	0	50.045	0.242134	50
500	-976.509	20.1875	-871.179	4990.74	7.54175	4999.95	-651.127	8.30713	-613.463	4982.15	9.63283	5000	0.93565	0.012934	0.961	49.505	0.271909	50
1000	-601.538	4.99269	-591.566	4983.07	9.44055	4999.75	-487.274	3.79769	-482.731	4981.66	9.50146	5000	0.919875	0.0122815	0.942	49.435	0.266702	50
1500	-490.655	3.29852	-484.974	4982.66	9.57071	4999.74	-409.778	3.05395	-405.306	4984.03	9.65101	5000	0.926593	0.0131426	0.9295	49.5975	0.264932	50
2000	-424.84	2.85293	-420.442	4983.21	9.63095	4999.83	-355.074	2.66453	-353.107	4984.17	9.6673	5000	0.93013	0.0125909	0.955	49.84	0.263243	50
2500	-376.447	2.61983	-372.456	4983.5	9.66198	4998.74	-313.711	2.4996	-310.285	4983.62	9.67536	4999	0.921653	0.012201	0.9415	50.255	0.259771	51
3000	-338.745	2.46821	-337.566	4983.19	9.67728	4999.45	-281.069	2.34449	-278.515	4984.39	9.70637	5000	0.92105	0.0126763	0.9325	50.62	0.263153	51
3500	-307.282	2.34114	-307.18	4984.06	9.6833	4999.12	-251.938	2.21121	-250.407	4984.66	9.7041	5000	0.92879	0.0130558	0.9425	50.8325	0.259479	51
4000	-279.978	2.25379	-279.108	4985.38	9.7031	5000.05	-226.998	2.13663	-226.328	4986.2	9.37063	5000	0.922442	0.0121905	0.9385	51.175	0.260226	51
4500	-256.532	2.17196	-258.751	4986.43	9.46061	4999.7	-205.463	2.00365	-205.23	4985.97	9.37649	5000	0.928527	0.012679	0.944	51.4275	0.259963	52
5000	-235.331	2.03999	-234.68	4986.24	9.37575	5000.1	-187	1.87673	-185.807	4985.86	9.37676	4999.5	0.916213	0.0119373	0.938	51.7475	0.25492	52
5500	-217.598	1.92994	-215.931	4986.03	9.38468	4999.82	-170.485	1.78858	-171.224	4985.6	9.40122	4999.5	0.93597	0.0127698	0.9345	52.01	0.250187	52
6000	-202.274	1.85848	-203.072	4985.88	9.39932	4999.63	-155.383	1.68821	-153.91	4985.45	9.42518	4999	0.926027	0.0127243	0.9535	52.2625	0.252325	52
6500	-187.583	1.77967	-185.485	4985.72	9.4312	4999.46	-141.333	1.60731	-139.85	4985.91	9.46187	4999	0.924618	0.0127913	0.9595	52.5975	0.249463	53
7000	-174.764	1.68498	-173.408	4986.18	9.4572	4999.86	-129.884	1.54671	-127.891	4986.51	9.46637	5000	0.92507	0.0127061	0.9375	52.7675	0.245401	53
