#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-2958.23	86.6265	-2417.12	5000	0	5000	-1832.97	56.43	-1458.22	5000	0	5000	0	0	0	49.29	0.23332	49.5
500	-979.027	18.2498	-881.931	4987.72	6.85536	4999.75	-671.518	8.63548	-636.849	4986.35	7.63985	5000	0.08525	0.000202351	0.085	48.895	0.238016	49
1000	-607.486	5.1239	-595.96	4987.37	7.28557	4999.76	-494.282	4.0314	-487.762	4986.24	7.50951	5000	0.0850575	0.000225777	0.085	48.74	0.239843	49
1500	-495.173	3.40501	-494.245	4987.97	7.12302	5000.08	-412.993	3.01709	-411.75	4988.02	7.14146	5000	0.084875	0.00020369	0.085	48.8575	0.241041	49
2000	-430.554	2.69845	-430.362	4988.58	7.14549	5000.06	-362.884	2.61769	-361.012	4989.97	7.20891	5000	0.0849175	0.000221188	0.085	49.0625	0.242525	49
2500	-386.475	2.55755	-385.274	4988.64	7.1706	5000.13	-323.57	2.41417	-323.944	4989.65	7.18935	5000	0.0847575	0.00021497	0.085	49.305	0.239527	50
3000	-351.275	2.3508	-352.756	4989.8	7.15284	5000.39	-292.067	2.24714	-292.015	4990.85	7.15031	5001	0.08503	0.00020656	0.085	49.6075	0.235871	50
3500	-322.504	2.20919	-326.967	4990.28	7.14388	5001.66	-264.925	2.07421	-266.269	4990.31	7.14817	5001.5	0.0846025	0.00019207	0.085	49.9525	0.23224	50
4000	-297.197	2.11112	-298.584	4990.77	7.143	5000.73	-241.917	2.01614	-241.444	4991.34	7.17813	5001	0.0846	0.000200219	0.085	50.1075	0.229748	51
4500	-274.686	2.04998	-274.664	4990.94	7.17013	5001.64	-221.091	1.9586	-219.102	4990.63	7.18001	5001	0.084745	0.000202212	0.085	50.4425	0.226539	51
5000	-254.988	1.959	-254.118	4990.89	7.17686	5000.57	-203.408	1.87783	-201.605	4990.88	7.24853	5000	0.0847225	0.000198241	0.085	50.75	0.226792	51
5500	-239.017	1.86809	-236.574	4992.43	7.2089	5000.94	-187.122	1.7851	-184.267	4992.3	7.20338	5000	0.08453	0.000194338	0.084	50.9475	0.225725	51
