#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3095.91	9.70155	-3091.42	5000	0	5000	-739.013	5.22598	-734.277	5000	0	5000	0	0	0	48.7225	0.232376	49
500	-802.647	6.24848	-810.709	4171.13	49.9505	4361.47	-501.19	2.48044	-499.736	4131.84	73.9011	4562	3.13668	0.0291458	3.2645	39.76	0.751877	43
1000	-518.505	4.06658	-500.94	4056.13	71.1211	4436.58	-419.386	2.45216	-423.276	4098.11	76.0068	4541.5	2.965	0.0654431	3.0615	39.395	0.76883	42
1500	-421.259	2.87729	-418.968	4066.68	74.0837	4435	-364.644	2.61007	-364.662	4120.51	75.7056	4492	2.96765	0.0723157	3.18	39.9175	0.764371	43
2000	-364.481	2.66603	-364.617	4107.26	75.0273	4480.83	-321.809	2.7076	-319.706	4114.9	74.8612	4492.5	2.99968	0.0748018	3.1965	40.225	0.759772	43
2500	-322.371	2.61108	-318.725	4114.19	74.8952	4491.17	-286.921	2.78328	-284.624	4120.05	74.841	4497.5	3.01336	0.0748828	3.2315	40.55	0.756455	44
3000	-288.738	2.69515	-284.94	4117.18	74.6968	4493.27	-257.333	2.86608	-250.51	4117.75	74.6637	4481.5	3.01117	0.0745405	3.2565	40.97	0.755256	44
3500	-261.014	2.68819	-254.379	4118.65	74.6656	4482.16	-232.156	2.86632	-224.738	4119.88	74.6768	4474.5	3.00064	0.0740991	3.1785	41.33	0.751825	44.5
4000	-237.731	2.72971	-230.411	4119.45	74.6265	4478.52	-210.807	2.86733	-202.938	4118.59	74.5603	4474.5	3.02269	0.0749369	3.188	41.755	0.755224	45
4500	-216.355	2.7075	-208.784	4120.97	74.5056	4481.64	-190.937	2.8467	-182.997	4122.57	74.3779	4484	3.00689	0.0739019	3.1975	42.16	0.751322	45
