#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3204.89	103.249	-2189.23	5000	0	5000	-1990.99	71.1407	-1368.65	5000	0	5000	0	0	0	49.66	0.226665	48.5
500	-1029.28	24.609	-706.247	4994.74	4.21864	4999.18	-690.27	11.6518	-418.499	4994.03	5.66204	4999.5	0.084515	0.000162104	0.0855	49.2475	0.232838	50
1000	-617.571	5.85369	-447.573	4994.99	5.69865	4997.7	-499.305	4.23948	-365.739	4994.81	5.8153	4993.5	0.0846825	0.000162813	0.0865	49.105	0.23659	49
1500	-503.726	3.57992	-401.168	4996.4	5.77247	4998.22	-420.696	3.12679	-322.753	4995.85	5.78701	4997	0.08477	0.000174302	0.0855	49.495	0.232131	49
2000	-439.452	2.99018	-344.773	4996.81	5.77002	4997.18	-368.373	2.76554	-276.59	4997.96	5.83927	4995.5	0.0850675	0.00018094	0.084	49.6175	0.227392	49
2500	-393.815	2.61142	-305.812	4997.18	5.82512	4997.18	-327.653	2.45487	-235.17	4996.95	5.8727	4993.5	0.0846475	0.000179097	0.0845	49.8575	0.226846	49.5
3000	-356.311	2.49803	-268.126	4997.07	5.86377	4994.02	-294.764	2.33117	-213.679	4997.43	5.81141	4992.5	0.0845425	0.000175027	0.0825	50.11	0.223791	49.5
3500	-325.67	2.34955	-248.668	4996.53	5.88978	4992.24	-267.543	2.23193	-196.508	4996.16	5.97085	4993	0.0845675	0.00017411	0.087	50.35	0.220375	50
4000	-300.978	2.27947	-230.033	4996.37	5.9524	4991.93	-245.39	2.13942	-181.673	4996.35	5.96593	4990.5	0.0847175	0.00017038	0.085	50.61	0.223539	50
4500	-278.556	2.10983	-218.852	4996.37	5.99411	4988.52	-225.022	2.04405	-173.523	4997.86	6.07083	4990.5	0.08434	0.000180846	0.0845	50.9725	0.22091	50
5000	-260.104	2.07781	-204.975	4997.63	6.06851	4988.12	-207.103	1.95445	-157.027	4997.44	6.12536	4989.5	0.0844125	0.000189858	0.0845	51.145	0.221518	50.5
5500	-242.617	2.04268	-187.693	4997.98	6.12073	4990.37	-191.261	1.88571	-141.236	4998.25	6.2336	4991.5	0.08416	0.0001903	0.0825	51.4075	0.216207	51
6000	-227.881	1.95292	-188.56	4999.29	6.18874	4968.6	-176.427	1.83439	-131.385	5000.34	6.26642	4992.5	0.08448	0.000196935	0.08	51.6075	0.215696	51.5
6500	-213.573	1.90152	-168.271	5000.06	6.23168	4991.61	-163.195	1.76123	-119.784	5002.44	6.35868	4991	0.0844025	0.000185336	0.0885	51.85	0.213882	51.5
7000	-201.025	1.7984	-162.949	5001.35	6.30744	4990.52	-151.986	1.69117	-114.756	5001.73	6.36079	4984.5	0.0842625	0.000200835	0.0835	52.06	0.212907	52
7500	-189.121	1.76394	-137.425	5001.74	6.3536	4988.66	-140.15	1.61087	-108.456	5002.47	6.39528	4987.5	0.0840675	0.000174416	0.084	52.28	0.212437	51.5
8000	-177.759	1.73206	-133.246	5002.07	6.35148	4988.8	-130.23	1.5286	-104.014	5001.43	6.38389	4985.5	0.0842175	0.000185267	0.0845	52.4125	0.210337	51
8500	-167.698	1.62701	-145.226	5002.24	6.35541	4987.27	-120.778	1.4666	-97.0016	5001.94	6.37282	4989	0.08414	0.000184149	0.0875	52.6375	0.210508	51
9000	-158.862	1.54158	-139.29	5002.43	6.40071	4987.78	-112.684	1.38919	-89.5784	5002.81	6.41962	4991	0.0845025	0.00019191	0.0815	52.7875	0.213412	52
9500	-151.173	1.50562	-128.714	5002.65	6.43257	4990.5	-105.121	1.32643	-87.5811	5002.53	6.454	4993	0.08422	0.000191561	0.085	53.005	0.208497	52
10000	-143.181	1.48679	-127.218	5003.37	6.47062	4992.93	-98.372	1.2725	-80.9067	5003.67	6.55354	4994	0.0842325	0.000187875	0.0825	53.1625	0.209254	52
10500	-137.703	1.41771	-115.064	5003.92	6.49671	4993.66	-92.0777	1.21988	-75.5065	5003.88	6.51712	4999.5	0.08421	0.000181306	0.0865	53.2675	0.209941	53
